"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","0603","31.4mm","33.3mm","31.4mm","33.3mm","31.4mm","33.3mm","T","270.0","1.0uF"
"C2","0603","38.4mm","31.4mm","38.4mm","31.4mm","38.4mm","31.4mm","T","270.0","10nF"
"C3","0603","9.0mm","31.6mm","9.0mm","31.6mm","9.0mm","31.6mm","T","90.0","1.0uF"
"C4","0603","16.0mm","29.7mm","16.0mm","29.7mm","16.0mm","29.7mm","T","270.0","10nF"
"C5","0603","16.6mm","32.9mm","16.6mm","32.9mm","16.6mm","32.9mm","T","0.0","2.2uF"
"C6","0603","39.0mm","34.5mm","39.0mm","34.5mm","39.0mm","34.5mm","T","0.0","2.2uF"
"C7","0603","32.3mm","27.1mm","32.3mm","27.1mm","32.3mm","27.1mm","T","270.0","0.1uF"
"C8","EIA3216","38.4mm","26.2mm","38.4mm","26.2mm","38.4mm","26.2mm","T","90.0","10uF"
"C9","0603","32.3mm","23.7mm","32.3mm","23.7mm","32.3mm","23.7mm","T","270.0","0.1uF"
"C10","EIA3216","35.6mm","23.4mm","35.6mm","23.4mm","35.6mm","23.4mm","T","270.0","10uF"
"C11","EIA3216","9.3mm","25.8mm","9.3mm","25.8mm","9.3mm","25.8mm","T","90.0","10uF"
"C12","0603","15.5mm","26.0mm","15.5mm","26.0mm","15.5mm","26.0mm","T","270.0","0.1uF"
"C13","0603","18.5mm","24.6mm","18.5mm","24.6mm","18.5mm","24.6mm","T","270.0","2.2uF"
"C14","0603","17.0mm","23.7mm","17.0mm","23.7mm","17.0mm","23.7mm","T","270.0","2.2uF"
"C15","EIA3216","7.7mm","18.8mm","7.7mm","18.8mm","7.7mm","18.8mm","T","90.0","10uF"
"C16","0603","10.3mm","18.5mm","10.3mm","18.5mm","10.3mm","18.5mm","T","270.0","0.1uF"
"C17","EIA3216","13.1mm","18.8mm","13.1mm","18.8mm","13.1mm","18.8mm","T","90.0","10uF"
"C19","0603","52.3mm","43.9mm","52.3mm","43.9mm","52.3mm","43.9mm","T","270.0","100nF"
"C20","0603","46.7mm","44.7mm","46.7mm","44.7mm","46.7mm","44.7mm","T","0.0","10uF"
"C21","0603","28.1mm","45.7mm","28.1mm","45.7mm","28.1mm","45.7mm","T","0.0","220nF"
"C22","0603","28.1mm","43.4mm","28.1mm","43.4mm","28.1mm","43.4mm","T","0.0","220nF"
"C23","0603","22.6mm","34.3mm","22.6mm","34.3mm","22.6mm","34.3mm","T","0.0","22nF"
"C24","0603","25.9mm","34.3mm","25.9mm","34.3mm","25.9mm","34.3mm","T","0.0","22nF"
"C25","0603","63.6mm","43.4mm","63.6mm","43.4mm","63.6mm","43.4mm","T","270.0","4.7uF"
"C26","0603","71.2mm","43.4mm","71.2mm","43.4mm","71.2mm","43.4mm","T","270.0","4.7uF"
"C27","0603","59.2mm","43.3mm","59.2mm","43.3mm","59.2mm","43.3mm","T","270.0","4.7uF"
"C28","0603","76.2mm","43.3mm","76.2mm","43.3mm","76.2mm","43.3mm","T","270.0","4.7uF"
"C29","0603","68.4mm","18.0mm","68.4mm","18.0mm","68.4mm","18.0mm","T","90.0","0.1uF"
"C30","0603","41.1mm","12.0mm","41.1mm","12.0mm","41.1mm","12.0mm","T","0.0","0.1uF"
"D2","LED-0603","46.2mm","17.0mm","46.2mm","17.0mm","46.2mm","17.0mm","T","0.0","RED"
"D3","LED-0603","59.3mm","34.9mm","59.3mm","34.9mm","59.3mm","34.9mm","T","0.0","RED"
"D4","LED-0603","59.3mm","32.4mm","59.3mm","32.4mm","59.3mm","32.4mm","T","0.0","RED"
"D5","LED-0603","59.2mm","29.8mm","59.2mm","29.8mm","59.2mm","29.8mm","T","0.0","RED"
"D6","LED-0603","59.2mm","27.2mm","59.2mm","27.2mm","59.2mm","27.2mm","T","0.0","RED"
"D7","LED-0603","59.2mm","24.6mm","59.2mm","24.6mm","59.2mm","24.6mm","T","0.0","RED"
"D8","LED-0603","75.8mm","24.8mm","75.8mm","24.8mm","75.8mm","24.8mm","T","180.0","RED"
"D9","LED-0603","75.8mm","27.2mm","75.8mm","27.2mm","75.8mm","27.2mm","T","180.0","RED"
"D10","LED-0603","75.8mm","29.8mm","75.8mm","29.8mm","75.8mm","29.8mm","T","180.0","RED"
"D11","LED-0603","75.7mm","32.4mm","75.7mm","32.4mm","75.7mm","32.4mm","T","180.0","RED"
"D12","LED-0603","75.7mm","34.9mm","75.7mm","34.9mm","75.7mm","34.9mm","T","180.0","RED"
"IC1","SOP65P640X120-28N","24.4mm","21.8mm","24.4mm","21.8mm","24.4mm","21.8mm","T","0.0","PCM5122"
"J10","AUDIO-JACK-3.5MM-SMD","22.9mm","56.5mm","22.9mm","56.5mm","22.9mm","56.5mm","T","270.0","AUDIO_JACK_3.5MM_SMD"
"Q1","SOT23-3","41.1mm","9.4mm","41.1mm","9.4mm","41.1mm","9.4mm","T","270.0","SI2302"
"R1","0603","23.4mm","31.0mm","23.4mm","31.0mm","23.4mm","31.0mm","T","270.0","470"
"R2","0603","25.1mm","31.0mm","25.1mm","31.0mm","25.1mm","31.0mm","T","270.0","470"
"R3","0603","33.5mm","13.6mm","33.5mm","13.6mm","33.5mm","13.6mm","T","270.0","33"
"R4","0603","31.9mm","13.6mm","31.9mm","13.6mm","31.9mm","13.6mm","T","270.0","33"
"R5","0603","30.2mm","13.6mm","30.2mm","13.6mm","30.2mm","13.6mm","T","270.0","33"
"R6","0603","26.3mm","14.6mm","26.3mm","14.6mm","26.3mm","14.6mm","T","180.0","33"
"R7","0603","26.3mm","13.0mm","26.3mm","13.0mm","26.3mm","13.0mm","T","180.0","33"
"R9","0603","41.7mm","17.8mm","41.7mm","17.8mm","41.7mm","17.8mm","T","90.0","2.0k"
"R10","0603","43.2mm","42.9mm","43.2mm","42.9mm","43.2mm","42.9mm","T","180.0","47k"
"R11","0603","46.7mm","42.9mm","46.7mm","42.9mm","46.7mm","42.9mm","T","180.0","47k"
"R12","0603","60.2mm","40.0mm","60.2mm","40.0mm","60.2mm","40.0mm","T","0.0","1.5k"
"R13","0603","75.2mm","40.0mm","75.2mm","40.0mm","75.2mm","40.0mm","T","0.0","1.5k"
"R14","0603","54.9mm","34.9mm","54.9mm","34.9mm","54.9mm","34.9mm","T","0.0","220"
"R15","0603","54.9mm","32.4mm","54.9mm","32.4mm","54.9mm","32.4mm","T","0.0","220"
"R16","0603","54.9mm","29.8mm","54.9mm","29.8mm","54.9mm","29.8mm","T","0.0","220"
"R17","0603","54.9mm","27.2mm","54.9mm","27.2mm","54.9mm","27.2mm","T","0.0","220"
"R18","0603","54.9mm","24.6mm","54.9mm","24.6mm","54.9mm","24.6mm","T","0.0","220"
"R19","0603","80.1mm","24.8mm","80.1mm","24.8mm","80.1mm","24.8mm","T","0.0","220"
"R20","0603","80.1mm","27.2mm","80.1mm","27.2mm","80.1mm","27.2mm","T","0.0","220"
"R21","0603","80.1mm","29.8mm","80.1mm","29.8mm","80.1mm","29.8mm","T","0.0","220"
"R22","0603","80.0mm","32.4mm","80.0mm","32.4mm","80.0mm","32.4mm","T","0.0","220"
"R23","0603","80.0mm","34.9mm","80.0mm","34.9mm","80.0mm","34.9mm","T","0.0","220"
"R24","0603","37.9mm","8.5mm","37.9mm","8.5mm","37.9mm","8.5mm","T","180.0","10k"
"R25","0603","37.9mm","10.4mm","37.9mm","10.4mm","37.9mm","10.4mm","T","180.0","1k"
"R26","0603","44.7mm","9.4mm","44.7mm","9.4mm","44.7mm","9.4mm","T","0.0","10k"
"R27","0603","47.6mm","29.7mm","47.6mm","29.7mm","47.6mm","29.7mm","T","0.0","22"
"U1","SOT95P280X145-5N","35.2mm","33.3mm","35.2mm","33.3mm","35.2mm","33.3mm","T","0.0","LP2985-10DBVR"
"U2","SOT95P280X145-5N","12.8mm","31.6mm","12.8mm","31.6mm","12.8mm","31.6mm","T","0.0","LP2985-10DBVR"
"U4","SOT95P280X145-6N","64.4mm","15.8mm","64.4mm","15.8mm","64.4mm","15.8mm","T","0.0","SN74LVC2G14DBVR"
